date,mean
2015-01,2.678571429
2015-02,3.08
2015-03,3.033333333
2015-04,2.766666667
2015-05,2.653846154
2015-06,2.172413793
2015-07,3.333333333
2015-08,3.25
2015-09,2.666666667
2015-10,3.12
2015-11,2.714285714
2015-12,2.733333333
2016-01,2.962962963
2016-02,2.931034483
2016-03,3.214285714
2016-04,2.517241379
2016-05,2.3
2016-06,3
2016-07,2.448275862
2016-08,2.851851852
2016-09,2.703703704
2016-10,2.535714286
2016-11,2.518518519
2016-12,2.5
2017-01,3.033333333
2017-02,3.464285714
2017-03,2.846153846
2017-04,2.321428571
2017-05,2.428571429
2017-06,2.666666667
2017-07,3.37037037
2017-08,2.516129032
2017-09,2.538461538
2017-10,2.892857143
2017-11,2.714285714
2017-12,1.695652174
2018-01,3.096774194
2018-02,2.740740741
2018-03,3.193548387
2018-04,3.52
2018-05,2.258064516
2018-06,2.916666667
2018-07,3.153846154
2018-08,2.518518519
2018-09,2
2018-10,2.782608696
2018-11,2.739130435
2018-12,2.56
2019-01,3.115384615
2019-02,2.518518519
2019-03,2.814814815
2019-04,2.52
2019-05,2.37037037
2019-06,2.961538462
2019-07,2.653846154
2019-08,2.28
2019-09,2.034482759
2019-10,2.607142857
2019-11,2.62962963
2019-12,3.571428571
2020-01,3.037037037
2020-02,2.259259259
2020-03,2.517241379
2020-04,2.230769231
2020-05,2.888888889
2020-06,2
