State,Race,Count,Population,State Population,Shootings per capita
Alabama,Black,31,1302295,4903185,0.632242104
Alabama,Hispanic,1,201970,4903185,0.020394907
Alabama,White,63,3191450,4903185,1.284879114
Alaska,Asian,2,48569,731545,0.273393981
Alaska,Black,3,21192,731545,0.410090972
Alaska,Native,9,105146,731545,1.230272916
Alaska,White,22,448081,731545,3.007333794
Arizona,Black,17,290379,7278717,0.233557645
Arizona,Hispanic,83,2202173,7278717,1.140310854
Arizona,Native,13,274496,7278717,0.178602905
Arizona,White,109,3836639,7278717,1.497516664
Arkansas,Asian,1,46583,3017825,0.033136448
Arkansas,Black,26,455500,3017825,0.861547638
Arkansas,White,46,2173307,3017825,1.52427659
California,Asian,29,5679986,39512223,0.07339501
California,Black,122,2164239,39512223,0.308765214
California,Hispanic,316,15477306,39512223,0.799752522
California,Native,4,147880,39512223,0.01012345
California,White,221,14616636,39512223,0.559320593
Colorado,Asian,5,176176,5758736,0.086824609
Colorado,Black,18,219500,5758736,0.312568591
Colorado,Hispanic,48,1206724,5758736,0.833516244
Colorado,Native,4,32102,5758736,0.069459687
Colorado,White,91,3822055,5758736,1.580207879
Connecticut,Black,3,354320,3565287,0.084144699
Connecticut,Hispanic,6,578833,3565287,0.168289397
Connecticut,White,11,2393694,3565287,0.308530561
Delaware,Black,5,206690,973764,0.513471437
Delaware,White,5,597917,973764,0.513471437
District of Columbia,Black,12,314705,705749,1.700321219
District of Columbia,White,1,253416,705749,0.141693435
Florida,Asian,1,578136,21477737,0.004655984
Florida,Black,111,3224452,21477737,0.516814225
Florida,Hispanic,51,5370860,21477737,0.237455184
Florida,White,156,11288419,21477737,0.726333505
Georgia,Asian,4,408067,10617423,0.037673925
Georgia,Black,71,3245371,10617423,0.668712172
Georgia,Hispanic,9,1001472,10617423,0.084766332
Georgia,White,77,5487048,10617423,0.72522306
Hawaii,Asian,9,532881,1415872,0.63565068
Hawaii,Black,1,22629,1415872,0.070627853
Hawaii,Hispanic,1,150125,1415872,0.070627853
Hawaii,White,3,310584,1415872,0.21188356
Idaho,Black,1,10947,1787065,0.055957674
Idaho,Hispanic,5,213619,1787065,0.279788368
Idaho,Native,1,19136,1787065,0.055957674
Idaho,White,30,1407302,1787065,1.678730208
Illinois,Black,58,1790512,12671821,0.457708486
Illinois,Hispanic,13,2206927,12671821,0.102589833
Illinois,White,28,7834272,12671821,0.220962717
Indiana,Black,30,613080,6732219,0.445618302
Indiana,Hispanic,4,461618,6732219,0.059415774
Indiana,White,57,5278785,6732219,0.846674774
Iowa,Black,7,103989,3155070,0.221865125
Iowa,White,24,2701250,3155070,0.760680429
Kansas,Black,6,161148,2913314,0.205951023
Kansas,Hispanic,8,345510,2913314,0.274601365
Kansas,Native,1,17617,2913314,0.034325171
Kansas,White,34,2210739,2913314,1.1670558
Kentucky,Asian,1,64381,4467673,0.022383017
Kentucky,Black,15,355829,4467673,0.335745253
