State,Population,Shootings,Shootings.per.100.000
Alabama,4903185,95,1.937516125
Alaska,731545,36,4.921091662
Arizona,7278717,222,3.049988068
Arkansas,3017825,73,2.418960675
California,39512223,701,1.774134551
Colorado,5758736,168,2.917306853
Connecticut,3565287,20,0.560964657
Delaware,973764,10,1.026942873
District of Columbia,705749,13,1.842014654
Florida,21477737,324,1.508538819
Georgia,10617423,161,1.51637549
Hawaii,1415872,29,2.048207748
Idaho,1787065,37,2.070433924
Illinois,12671821,99,0.781261036
Indiana,6732219,91,1.35170885
Iowa,3155070,31,0.982545554
Kansas,2913314,49,1.681933358
Kentucky,4467673,87,1.947322465
Louisiana,4648794,102,2.194117442
Maine,1344212,21,1.562253573
Maryland,6045680,77,1.273636712
Massachusetts,6949503,33,0.474854101
Michigan,9986857,71,0.710934381
Minnesota,5639632,60,1.063899205
Mississippi,2976149,61,2.049628564
Missouri,6137428,124,2.0203903
Montana,1068778,29,2.713379205
Nebraska,1934408,24,1.240689658
Nevada,3080156,85,2.759600488
New Hampshire,1359711,12,0.882540481
New Jersey,8882190,60,0.675509081
New Mexico,2096829,93,4.435268684
New York,19453561,90,0.462640233
North Carolina,10488084,148,1.411125235
North Dakota,762062,11,1.443452108
Ohio,11689100,146,1.249026871
Oklahoma,3956971,151,3.816050206
Oregon,4217737,76,1.801914154
Pennsylvania,12801989,95,0.742072189
Rhode Island,1059361,4,0.377586111
South Carolina,5148714,80,1.553786052
South Dakota,884659,14,1.58253067
Tennessee,6833174,125,1.829310947
Texas,28995881,426,1.469174191
Utah,3205958,58,1.809131623
Vermont,623989,8,1.282073883
Virginia,8535519,92,1.077848928
Washington,7614893,126,1.654652272
West Virginia,1792147,46,2.566753732
Wisconsin,5822434,88,1.511395406
Wyoming,578759,13,2.246185372
