Date,Race,Count
01/2015,Asian,2
01/2015,Black,17
01/2015,Hispanic,16
01/2015,Native,1
01/2015,Other,1
01/2015,White,38
01/2015,Black,20
01/2015,Hispanic,14
01/2015,White,43
01/2015,Asian,2
01/2015,Black,27
01/2015,Hispanic,13
01/2015,Native,1
01/2015,White,48
01/2015,Asian,2
01/2015,Black,25
01/2015,Hispanic,14
01/2015,Native,1
01/2015,Other,1
01/2015,White,40
01/2015,Asian,1
01/2015,Black,20
01/2015,Hispanic,5
01/2015,Other,3
01/2015,White,40
01/2015,Black,13
01/2015,Hispanic,17
01/2015,Native,1
01/2015,White,32
01/2015,Asian,1
01/2015,Black,25
02/2015,Hispanic,14
02/2015,Native,2
02/2015,Other,1
02/2015,White,57
02/2015,Black,27
02/2015,Hispanic,16
02/2015,White,48
02/2015,Asian,2
02/2015,Black,18
02/2015,Hispanic,16
02/2015,Native,3
02/2015,Other,2
02/2015,White,39
02/2015,Asian,1
02/2015,Black,26
02/2015,Hispanic,16
02/2015,Other,2
02/2015,White,33
02/2015,Asian,1
02/2015,Black,19
02/2015,Hispanic,14
02/2015,Other,1
02/2015,White,41
02/2015,Asian,2
02/2015,Black,21
02/2015,Hispanic,17
02/2015,Other,4
02/2015,White,38
03/2015,Asian,1
03/2015,Black,16
03/2015,Hispanic,11
03/2015,Native,2
03/2015,White,50
03/2015,Black,24
03/2015,Hispanic,18
03/2015,Native,4
03/2015,Other,3
03/2015,White,36
03/2015,Asian,2
03/2015,Black,20
03/2015,Hispanic,18
03/2015,Native,1
03/2015,White,49
03/2015,Asian,3
03/2015,Black,21
03/2015,Hispanic,10
03/2015,White,39
03/2015,Asian,1
03/2015,Black,21
03/2015,Hispanic,9
03/2015,Native,3
03/2015,Other,1
03/2015,White,34
03/2015,Asian,2
03/2015,Black,26
03/2015,Hispanic,16
03/2015,Native,1
03/2015,Other,3
03/2015,White,39
04/2015,Asian,1
04/2015,Black,23
04/2015,Hispanic,14
04/2015,Native,1
04/2015,Other,1
04/2015,White,31
04/2015,Black,14
04/2015,Hispanic,16
04/2015,White,47
04/2015,Black,20
04/2015,Hispanic,13
04/2015,Native,1
04/2015,Other,1
04/2015,White,38
04/2015,Asian,2
04/2015,Black,16
04/2015,Hispanic,11
04/2015,Native,2
04/2015,White,40
04/2015,Asian,1
04/2015,Black,19
04/2015,Hispanic,17
04/2015,Other,1
04/2015,White,30
04/2015,Asian,2
04/2015,Black,14
04/2015,Hispanic,7
04/2015,Native,1
04/2015,Other,1
04/2015,White,35
05/2015,Asian,2
05/2015,Black,21
05/2015,Hispanic,21
05/2015,Native,2
05/2015,Other,2
05/2015,White,43
05/2015,Asian,2
05/2015,Black,31
05/2015,Hispanic,18
05/2015,Native,1
05/2015,White,45
05/2015,Asian,1
05/2015,Black,17
05/2015,Hispanic,13
05/2015,Native,1
05/2015,White,42
05/2015,Asian,3
05/2015,Black,20
05/2015,Hispanic,13
05/2015,Native,1
05/2015,White,28
05/2015,Black,16
05/2015,Hispanic,14
05/2015,White,38
05/2015,Asian,2
05/2015,Black,17
05/2015,Hispanic,21
05/2015,Native,1
05/2015,Other,1
05/2015,White,38
05/2015,Asian,2
06/2015,Black,20
06/2015,Hispanic,19
06/2015,Native,2
06/2015,Other,1
06/2015,White,47
06/2015,Black,23
06/2015,Hispanic,12
06/2015,Native,1
06/2015,White,42
06/2015,Black,12
06/2015,Hispanic,12
06/2015,Native,2
06/2015,Other,2
06/2015,White,38
06/2015,Asian,1
06/2015,Black,18
06/2015,Hispanic,20
06/2015,Native,5
06/2015,White,37
06/2015,Asian,2
06/2015,Black,19
06/2015,Hispanic,11
06/2015,Native,3
06/2015,White,41
06/2015,Asian,1
06/2015,Black,10
06/2015,Hispanic,5
06/2015,Native,3
06/2015,White,20
06/2015,Asian,2
07/2015,Black,24
07/2015,Hispanic,20
07/2015,Native,1
07/2015,White,49
07/2015,Asian,1
07/2015,Black,25
07/2015,Hispanic,10
07/2015,Native,1
07/2015,White,37
07/2015,Asian,3
07/2015,Black,18
07/2015,Hispanic,21
07/2015,Native,4
07/2015,White,53
07/2015,Asian,3
07/2015,Black,26
07/2015,Hispanic,11
07/2015,Native,2
07/2015,White,46
07/2015,Black,10
07/2015,Hispanic,13
07/2015,Native,2
07/2015,White,45
07/2015,Asian,1
07/2015,Black,20
07/2015,Hispanic,12
07/2015,Other,1
07/2015,White,36
07/2015,Asian,4
07/2015,Black,13
07/2015,Hispanic,27
08/2015,Native,1
08/2015,Other,1
08/2015,White,36
08/2015,Black,21
08/2015,Hispanic,12
08/2015,Native,1
08/2015,White,34
08/2015,Black,15
08/2015,Hispanic,9
08/2015,White,26
08/2015,Asian,1
08/2015,Black,20
08/2015,Hispanic,7
08/2015,Native,2
08/2015,Other,1
08/2015,White,33
08/2015,Asian,4
08/2015,Black,18
08/2015,Hispanic,12
08/2015,Native,1
08/2015,White,28
08/2015,Asian,2
08/2015,Black,19
08/2015,Hispanic,11
08/2015,Other,1
08/2015,White,31
08/2015,Asian,1
08/2015,Black,23
08/2015,Hispanic,16
08/2015,Native,2
08/2015,Other,1
09/2015,White,38
09/2015,Asian,4
09/2015,Black,21
09/2015,Hispanic,8
09/2015,Other,1
09/2015,White,34
09/2015,Asian,2
09/2015,Black,21
09/2015,Hispanic,18
09/2015,Native,3
09/2015,White,32
09/2015,Asian,2
09/2015,Black,14
09/2015,Hispanic,14
09/2015,Native,3
09/2015,White,30
09/2015,Asian,2
09/2015,Black,16
09/2015,Hispanic,20
09/2015,Native,1
09/2015,Other,2
09/2015,White,23
09/2015,Black,26
09/2015,Hispanic,18
09/2015,Native,1
09/2015,White,32
09/2015,Asian,3
09/2015,Black,19
09/2015,Hispanic,17
09/2015,Native,1
10/2015,Other,1
10/2015,White,28
10/2015,Black,21
10/2015,Hispanic,12
10/2015,White,24
10/2015,Black,18
10/2015,Hispanic,7
10/2015,Native,1
10/2015,White,33
10/2015,Asian,2
10/2015,Black,21
10/2015,Hispanic,8
10/2015,White,42
10/2015,Asian,1
10/2015,Black,16
10/2015,Hispanic,13
10/2015,Other,1
10/2015,White,40
10/2015,Asian,2
10/2015,Black,34
10/2015,Hispanic,12
10/2015,Native,1
10/2015,Other,3
10/2015,White,48
10/2015,Asian,3
10/2015,Black,27
10/2015,Hispanic,13
10/2015,Other,1
10/2015,White,38
10/2015,Asian,2
10/2015,Black,13
11/2015,Hispanic,12
11/2015,Native,3
11/2015,White,31
11/2015,Asian,1
11/2015,Black,14
11/2015,Hispanic,13
11/2015,Other,1
11/2015,White,44
11/2015,Asian,1
11/2015,Black,15
11/2015,Hispanic,8
11/2015,White,34
11/2015,Asian,1
11/2015,Black,27
11/2015,Hispanic,13
11/2015,Other,1
11/2015,White,36
11/2015,Black,7
11/2015,Hispanic,4
11/2015,White,11
